year_month,station_id,station_name,station_name_en,station_attribute,source_file,Precipitation
2017-06-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,894.0
2017-06-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,1986.6
2017-06-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,291.6
2017-06-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,800.0
2017-06-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,581.5
2017-06-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,105.0
2017-06-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,118.3
2017-06-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,13.9
2017-06-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,1013.0
2017-06-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,170.4
2017-06-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,388.3
2017-06-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,995.0
2017-06-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,947.5
2017-06-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,694.5
2017-07-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,212.6
2017-07-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,83.0
2017-07-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,160.0
2017-07-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,206.6
2017-07-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,166.0
2017-07-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,67.9
2017-07-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,37.5
2017-07-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,153.5
2017-07-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,37.3
2017-07-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,219.1
2017-07-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,133.9
2017-07-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,92.6
2017-07-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,256.1
2017-07-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,240.5
2017-07-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,506.9
2017-07-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,549.0
2017-07-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,285.0
2017-07-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,663.2
2017-07-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,313.7
2017-07-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,940.3
2017-07-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,507.5
2017-07-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,429.5
2017-07-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,89.7
2017-07-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,645.1
2017-07-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,205.1
2017-07-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,308.6
2017-07-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,424.5
2017-07-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,188.7
2017-07-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,196.3
2017-07-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,353.5
2017-07-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,481.5
2017-07-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,293.5
2017-08-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,124.6
2017-08-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,41.5
2017-08-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,34.8
2017-08-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,166.2
2017-08-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,23.0
2017-08-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,20.2
2017-08-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,11.6
2017-08-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,138.0
2017-08-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,23.8
2017-08-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,88.4
2017-08-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,45.4
2017-08-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,46.5
2017-08-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,80.1
2017-08-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,98.8
2017-08-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,196.5
2017-08-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,115.5
2017-08-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,211.0
2017-08-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,198.6
2017-08-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,69.0
2017-08-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,247.6
2017-08-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,347.9
2017-08-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,115.0
2017-08-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,54.2
2017-08-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,298.0
2017-08-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,233.6
2017-08-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,452.5
2017-08-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,183.5
2017-08-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,314.5
2017-08-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,80.1
2017-08-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,71.5
2017-08-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,142.0
2017-08-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,36.5
2017-09-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,51.2
2017-09-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,59.0
2017-09-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,307.5
2017-09-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,175.6
2017-09-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,293.2
2017-09-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,188.8
2017-09-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,19.0
2017-09-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,126.0
2017-09-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,18.3
2017-09-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,463.0
2017-09-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,660.8
2017-09-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,29.4
2017-09-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,19.7
2017-09-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,20.1
2017-09-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,39.5
2017-09-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,21.0
2017-09-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,32.5
2017-09-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,117.2
2017-09-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,21.4
2017-09-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,171.6
2017-09-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,336.7
2017-09-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,81.5
